id,ten_dau_viec,nhom,phong_chinh,phong_phoi_hop,bat_dau,ket_thuc,trang_thai,so_lan_nhac,ghi_chu,nguon_van_ban,dinh_ky
29,Rà soát Hợp đồng Xét nghiệm phục vụ BHYT,chuyen_mon,KHTH,,2025-12-16,2025-12-30,da_hoan_thanh,1,,BC Tiến độ họp BS Ngọc Hải 16/12/2025,0
30,Đẩy dữ liệu nhân sự lên cổng BHYT,quan_ly_khac,KHTH,,2025-12-16,2025-12-30,da_hoan_thanh,1,Phối hợp Bs Lan Hương,BC Tiến độ họp BS Ngọc Hải 16/12/2025,0
31,Phối hợp BV Lê Văn Thịnh đảm bảo hoạt động và chi trả BHYT thận nhân tạo,quan_ly_khac,TCCB,TCKT|KHTH,2025-12-16,2025-12-30,tre_deadline,1,KHTH trình công văn 19.12.2025,BC Tiến độ họp BS Ngọc Hải 16/12/2025,0
32,Sửa chữa Mô-tơ điện,hanh_chanh,HCQT,,2025-12-16,2025-12-30,da_hoan_thanh,1,sửa lần 1,BC Tiến độ họp BS Ngọc Hải 16/12/2025,0
33,Lắp đặt biển báo Lối vào - Lối ra cho xe,hanh_chanh,HCQT,,2025-12-16,2025-12-23,da_hoan_thanh,1,,BC Tiến độ họp BS Ngọc Hải 16/12/2025,0
34,Kiểm soát thẻ đeo ký tên ra vào đối với công nhân xây dựng,quan_ly_khac,Bảo vệ,HCQT,2025-12-16,2025-12-30,da_hoan_thanh,1,Đang kiểm soát bằng sổ ra vào,BC Tiến độ họp BS Ngọc Hải 16/12/2025,0
35,Làm mái che vòm sơn trắng khu vực Bảo vệ,hanh_chanh,HCQT,,2025-12-16,2025-12-30,da_hoan_thanh,1,Đã làm tờ trình 19.12.2025,BC Tiến độ họp BS Ngọc Hải 16/12/2025,0
36,Cải tạo vườn trước phòng khám (lát tấm đan 80cm chia 5 ô),hanh_chanh,HCQT,,2025-12-16,2026-01-20,da_hoan_thanh,1,Tờ trình T2 22.12.2025,BC Tiến độ họp BS Ngọc Hải 16/12/2025,0
37,Cải tạo vườn trước khu nhân viên (lát tấm đan 80cm chia 2 ô),hanh_chanh,HCQT,,2025-12-16,2026-01-20,da_hoan_thanh,1,Hoàn thành,BC Tiến độ họp BS Ngọc Hải 16/12/2025,0
38,Vận chuyển 20 ghế Inox từ Cơ sở 1 lên tăng cường,hanh_chanh,HCQT,,2025-12-16,2026-01-20,da_hoan_thanh,1,,BC Tiến độ họp BS Ngọc Hải 16/12/2025,0
39,Cải tạo kho phòng khám thành chỗ thay đồ (có tủ Locker),hanh_chanh,HCQT,,2025-12-16,2025-12-30,da_hoan_thanh,1,Đã xong 19.12.2025,BC Tiến độ họp BS Ngọc Hải 16/12/2025,0
40,Đóng đinh khóa các phòng hiện chưa sử dụng,hanh_chanh,HCQT,,2025-12-16,2025-12-30,da_hoan_thanh,1,Đã xong 19.12.2025,BC Tiến độ họp BS Ngọc Hải 16/12/2025,0
41,Thông báo cấm công nhân đi lối phòng khám và sử dụng thang máy PK,hanh_chanh,HCQT,,2025-12-16,2025-12-30,da_hoan_thanh,1,,BC Tiến độ họp BS Ngọc Hải 16/12/2025,0
42,Niêm yết bảng thông báo giờ làm việc tại các cửa chính,hanh_chanh,HCQT,,2025-12-16,2025-12-30,da_hoan_thanh,1,,BC Tiến độ họp BS Ngọc Hải 16/12/2025,0
43,Quy hoạch vị trí đỗ xe (người nhà Cấp cứu Ô tô NV),hanh_chanh,HCQT,,2025-12-16,2025-12-30,da_hoan_thanh,1,,BC Tiến độ họp BS Ngọc Hải 16/12/2025,0
44,Tổ chức giao ban Bệnh viện định kỳ mỗi ngày,quan_ly_khac,Ban Giám đốc,,2025-12-16,2025-12-30,da_hoan_thanh,1,,BC Tiến độ họp BS Ngọc Hải 16/12/2025,1
45,Tổ chức giao ban Điều dưỡng định kỳ mỗi tuần,quan_ly_khac,Điều dưỡng trưởng,,2025-12-16,2025-12-30,da_hoan_thanh,1,,BC Tiến độ họp BS Ngọc Hải 16/12/2025,1
46,Tổng hợp và trình quy trình Cấp cứu - Phòng mổ - PK,quan_ly_khac,Bs Hoàng,,2025-12-16,2025-12-30,tre_deadline,1,,BC Tiến độ họp BS Ngọc Hải 16/12/2025,0
47,Đảm bảo đèn hành lang PK - Cấp cứu sáng 24/7 (thêm 2 đèn),hanh_chanh,HCQT,,2025-12-16,2025-12-30,da_hoan_thanh,1,,BC Tiến độ họp BS Ngọc Hải 16/12/2025,0
48,Phương án kiểm soát hành lang Cấp cứu - Phòng khám,hanh_chanh,HCQT,,2025-12-16,2025-12-30,da_hoan_thanh,1,Dùng decal cảnh báo và thông báo giao ban,BC Tiến độ họp BS Ngọc Hải 16/12/2025,0
49,Báo cáo phương án phối hợp/xử trí với Đơn vị 115,quan_ly_khac,KHTH,,2025-12-16,2025-12-30,tre_deadline,1,KHTH gửi CV xin ý kiến SYT,BC Tiến độ họp BS Ngọc Hải 16/12/2025,0
50,Báo cáo phân tích vị trí kho tổng (HC VTTB Dược HS),quan_ly_khac,HCQT,VTTBYT|KHTH,2025-12-16,2025-12-22,da_hoan_thanh,1,,BC Tiến độ họp BS Ngọc Hải 16/12/2025,0
51,Tổ chức giao ban và phản hồi ý kiến bệnh viện đối tác,quan_ly_khac,KHTH,,2025-12-29,2026-01-12,dang_thuc_hien,1,Đầu mối tiếp nhận - phản hồi ý kiến BV Lê Văn Thịnh/YHCT/Da Liễu,Kết luận họp BS Ngọc Hải 29/12/2025,1
52,Tăng cường truyền thông dịch vụ và tiếp đón tư vấn người bệnh,quan_ly_khac,CSKH,,2025-12-29,2026-01-12,da_hoan_thanh,1,CSKH là đầu mối,Kết luận họp BS Ngọc Hải 29/12/2025,0
53,Hoàn thành quy trình nhập viện và in/đeo lắc tay người bệnh,quan_ly_khac,KHTH,K.Cấp cứu,2025-12-29,2026-01-12,tre_deadline,1,Ngay khi NB nhập viện phải in và đeo lắc tay đúng quy định,Kết luận họp BS Ngọc Hải 29/12/2025,0
54,Tái bố trí nhân sự Nội/Ngoại/Sản/Cấp cứu theo định hướng trực tập trung,hanh_chanh,KHTH,K.Cấp cứu,2025-12-29,2026-02-15,da_hoan_thanh,1,"Thông báo về việc trực tập trung, giám sát mỗi đợt nhân sự mới",Kết luận họp BS Ngọc Hải 29/12/2025,0
55,Thực hiện quy trình chuyển viện qua bến phà Bình Khánh,quan_ly_khac,KHTH,HCQT,2025-12-29,2026-01-01,tre_deadline,1,Tối ưu thời gian xe cứu thương - đường Huỳnh Tấn Phát,Kết luận họp BS Ngọc Hải 29/12/2025,0
56,Điều phối người bệnh tập trung theo phân khu định sẵn,quan_ly_khac,KHTH,,2025-12-29,2026-01-12,dang_thuc_hien,1,Mở rộng khu mới chỉ khi khu trước đã hết công suất,Kết luận họp BS Ngọc Hải 29/12/2025,1
57,Đảm bảo cung ứng VTTB và hóa chất tiêu hao đầy đủ kịp thời,hanh_chanh,VTTBYT,,2025-12-29,2026-01-12,dang_thuc_hien,1,,Kết luận họp BS Ngọc Hải 29/12/2025,1
58,Trang bị máy CT mới,chuyen_mon,VTTBYT,,2025-12-29,2026-03-31,tre_deadline,1,,Kết luận họp BS Ngọc Hải 29/12/2025,0
59,Sửa chữa máy C-arm và hệ thống nội soi tiêu hóa,hanh_chanh,VTTBYT,,2025-12-29,2026-01-21,tre_deadline,1,,Kết luận họp BS Ngọc Hải 29/12/2025,0
60,Thành lập bộ phận quản lý điều hành BVTD CS2,quan_ly_khac,TCCB,HCQT,2025-12-29,2026-01-02,da_hoan_thanh,1,⚠️ Báo cáo từ phòng phối hợp (HCQT) — cần kiểm tra lại với phòng chính (TCCB),Kết luận họp BS Ngọc Hải 29/12/2025,0
61,Thực hiện và giám sát 5S tại khoa Cấp cứu chống độc,hanh_chanh,Điều dưỡng,,2025-12-29,2026-01-12,da_hoan_thanh,1,,Kết luận họp BS Ngọc Hải 29/12/2025,0
62,Chuẩn bị đồng phục cho bác sĩ và người bệnh,chuyen_mon,Điều dưỡng,,2025-12-29,2026-02-10,da_hoan_thanh,2,Nhắc lại 06/01/2026,Kết luận họp BS Ngọc Hải 29/12/2025,0
63,Cải tạo khu vực bồn cây trung tâm (trồng cây bông vàng-hồng + sơn bồn + tỉa cây + di dời cây bằng lăng),hanh_chanh,HCQT,,2026-01-29,2026-01-20,da_hoan_thanh,1,,Kết luận họp BS Ngọc Hải 29/01/2026,0
64,Phối hợp cải tạo vườn cây thuốc Nam khu phòng khám YHCT cùng BV Y học Cổ truyền TP.HCM,hanh_chanh,HCQT,Đoàn Thanh Niên,2026-01-29,2026-01-30,da_hoan_thanh,1,,Kết luận họp BS Ngọc Hải 29/01/2026,0
65,Cải tạo khu nhà nghỉ nhân viên: di dời cây xanh + sân phơi đồ (đá sỏi/dây phơi/chiếu sáng/sửa nắp cống) + sân thể thao,hanh_chanh,HCQT,,2026-01-29,2026-01-30,da_hoan_thanh,1,Hoàn thành,Kết luận họp BS Ngọc Hải 29/01/2026,0
66,Cải tạo kho trung tâm CS2 (khu vực KSNK) phục vụ VTTBYT + HCQT + Dược,hanh_chanh,HCQT,VTTBYT|Dược|KSNK,2026-01-29,2026-01-30,da_hoan_thanh,1,,Kết luận họp BS Ngọc Hải 29/01/2026,0
67,Dọn vệ sinh 5S và di dời thiết bị hư tại khu nhà đại thể (bàn/giường inox + xe cấp cứu hư + thùng rác về CS1),hanh_chanh,HCQT,,2026-01-29,2026-01-30,da_hoan_thanh,1,,Kết luận họp BS Ngọc Hải 29/01/2026,0
68,Dọn vệ sinh 5S và xây lưới B40 bảo vệ khu vực bình Oxy,hanh_chanh,HCQT,,2026-01-29,2026-01-30,da_hoan_thanh,1,,Kết luận họp BS Ngọc Hải 29/01/2026,0
69,Cải tạo khu tiếp nhận Cấp cứu: di dời máy tính/TV + điều chỉnh poster + 5S xe lăn và bao áo bình oxy,hanh_chanh,HCQT,CNTT|Điều dưỡng,2026-01-29,2026-01-30,da_hoan_thanh,1,,Kết luận họp BS Ngọc Hải 29/01/2026,0
70,Cải tạo phòng họp Cấp cứu: 5S dây điện/ổ điện + thay đổi công năng phòng xử lý dụng cụ + trang bị 10 ghế và TV lớn,hanh_chanh,HCQT,KHTH|Điều dưỡng|KSNK,2026-01-29,2026-01-30,da_hoan_thanh,1,,Kết luận họp BS Ngọc Hải 29/01/2026,0
71,Thay đèn đầu giường NB khu hành chính CC + 5S phòng đệm hồi sức + bố trí kệ Inox thiết bị,hanh_chanh,HCQT,Điều dưỡng,2026-01-29,2026-01-30,da_hoan_thanh,1,,Kết luận họp BS Ngọc Hải 29/01/2026,0
72,Thiết kế lại buồng thủ thuật Cấp cứu và trang bị giường thủ thuật đúng quy định,hanh_chanh,K.Cấp cứu,,2026-01-29,2026-01-30,da_hoan_thanh,1,,Kết luận họp BS Ngọc Hải 29/01/2026,0
73,Thay rèm xanh di động tại phòng thay đồ nhân viên,hanh_chanh,HCQT,,2026-01-29,2026-01-30,da_hoan_thanh,1,,Kết luận họp BS Ngọc Hải 29/01/2026,0
74,Làm vách và cửa ngăn cách khu vui chơi trẻ em và lối vào nhà vệ sinh,hanh_chanh,HCQT,,2026-01-29,2026-01-30,tre_deadline,1,,Kết luận họp BS Ngọc Hải 29/01/2026,0
75,Triển khai dịch vụ soi gây mê và thực hiện công tác chuyển bệnh,chuyen_mon,GMHS,,2026-01-29,2026-01-30,tre_deadline,1,,Kết luận họp BS Ngọc Hải 29/01/2026,0
76,TCCB sắp xếp nhân sự lãnh đạo KSNK làm việc tối thiểu 2 lần/tuần tại CS2,quan_ly_khac,TCCB,,2026-01-29,2026-01-30,dang_thuc_hien,1,,Kết luận họp BS Ngọc Hải 29/01/2026,1
77,HCQT cải tạo sân phơi đồ khu vực KSNK đảm bảo hiệu suất và thẩm mỹ,hanh_chanh,HCQT,,2026-01-29,2026-01-30,da_hoan_thanh,1,,Kết luận họp BS Ngọc Hải 29/01/2026,0
78,KSNK báo cáo trực tiếp Giám đốc: tiến độ + phân bổ CS1-CS2 + hóa chất còn thiếu + quy trình vận hành,quan_ly_khac,KSNK,,2026-01-29,2026-01-30,tre_deadline,1,Báo cáo thứ 6 ngày 30/01/2026,Kết luận họp BS Ngọc Hải 29/01/2026,0
79,KSNK: 5S dụng cụ thiết bị + chuẩn hóa bảng biểu theo chuẩn CS1 + rà soát thùng rác vàng,chuyen_mon,KSNK,,2026-01-29,2026-01-30,tre_deadline,1,,Kết luận họp BS Ngọc Hải 29/01/2026,0
80,Rà soát và quy hoạch khu vực rác lây nhiễm KSNK (vệ sinh + 5S + thời gian lấy rác),chuyen_mon,KSNK,,2026-01-29,2026-01-30,tre_deadline,1,,Kết luận họp BS Ngọc Hải 29/01/2026,0
81,KHTH thiết lập báo cáo định kỳ: cơ cấu bệnh tật + phân tích chuyển tuyến hàng ngày/tuần + hoạt động lâm sàng,quan_ly_khac,KHTH,,2026-01-29,2026-01-30,dang_thuc_hien,1,,Kết luận họp BS Ngọc Hải 29/01/2026,1
82,Hoàn thiện và trình phê duyệt hệ thống quy trình phác đồ điều trị phù hợp CS2,chuyen_mon,KHTH,,2026-01-29,2026-01-30,tre_deadline,1,"Đã ban hành 2 phác đồ, 2 QTKT, đang chờ bổ sung phác đồ nội ngoại thường gặp",Kết luận họp BS Ngọc Hải 29/01/2026,0
83,Dược phối hợp KHTH giám sát kê đơn + rà soát danh mục thuốc + thông báo tại giao ban,quan_ly_khac,Dược,KHTH,2026-01-29,2026-01-30,da_hoan_thanh,1,,Kết luận họp BS Ngọc Hải 29/01/2026,0
84,KHTH tổ chức sinh hoạt chuyên môn định kỳ: bình bệnh án + rút kinh nghiệm ca bệnh nặng + bình đơn thuốc,quan_ly_khac,KHTH,,2026-01-29,2026-01-30,dang_thuc_hien,1,,Kết luận họp BS Ngọc Hải 29/01/2026,1
85,Khảo sát bố trí khu vực riêng cấp cứu ca bệnh nặng tiên lượng xin về (phòng Siêu âm/thủ thuật CC),chuyen_mon,K.Cấp cứu,KHTH,2026-01-29,2026-01-30,da_hoan_thanh,1,,Kết luận họp BS Ngọc Hải 29/01/2026,0
86,Xây dựng kế hoạch và diễn tập cấp cứu ngoại khoa + cấp cứu hàng loạt,chuyen_mon,K.Cấp cứu,KHTH,2026-01-29,2026-01-30,da_hoan_thanh,1,,Kết luận họp BS Ngọc Hải 29/01/2026,0
87,Tổ chức phong trào mỗi khoa/phòng chăm sóc vườn cây + gắn bảng tên khoa và tên lãnh đạo,hanh_chanh,Công Đoàn,HCQT,2026-01-29,2026-04-24,da_hoan_thanh,1,,Kết luận họp BS Ngọc Hải 29/01/2026,0
88,HCQT khóa khu vực căn tin cũ và nhà đại thể + quy hoạch khu vực nghỉ ngơi nhân viên vệ sinh,hanh_chanh,HCQT,Điều dưỡng,2026-01-29,2026-01-30,da_hoan_thanh,1,,Kết luận họp BS Ngọc Hải 29/01/2026,0
89,Chuẩn hóa và đánh dấu khu vực để xe lăn toàn viện theo chuẩn CS1 (khu CC và phòng khám),chuyen_mon,Điều dưỡng,HCQT,2026-01-29,2026-01-30,da_hoan_thanh,1,⚠️ Báo cáo từ phòng phối hợp (HCQT) — cần kiểm tra lại với phòng chính (Điều dưỡng),Kết luận họp BS Ngọc Hải 29/01/2026,0
90,TCCB rà soát văn bản và đề xuất tổ chức Cấp cứu 115; HCQT triển khai sau phê duyệt,quan_ly_khac,TCCB,HCQT,2026-01-29,2026-01-30,tre_deadline,1,,Kết luận họp BS Ngọc Hải 29/01/2026,0
91,TCCB ra thông báo + lên lịch trực khám bệnh CC cho BS các khoa GMHS/Sản/Nội/Ngoại,quan_ly_khac,TCCB,KHTH,2026-01-29,2026-01-30,tre_deadline,1,,Kết luận họp BS Ngọc Hải 29/01/2026,0
92,Điều dưỡng xây dựng hoạt động CSKH để tăng tỉ lệ bệnh nhân tái khám các chuyên khoa,quan_ly_khac,Điều dưỡng,CSKH,2026-01-29,2026-01-30,tre_deadline,1,,Kết luận họp BS Ngọc Hải 29/01/2026,0
93,CTXH xây dựng hoạt động truyền thông để tăng số lượng bệnh nhân khám bệnh tại CS2,chuyen_mon,CTXH,,2026-01-29,2026-01-30,tre_deadline,1,,Kết luận họp BS Ngọc Hải 29/01/2026,0
94,CTXH lập kế hoạch chăm sóc bệnh nhân hoàn cảnh khó khăn (miễn giảm viện phí + thăm hỏi tặng quà),chuyen_mon,CTXH,Điều dưỡng|Công Đoàn,2026-01-29,2026-01-30,tre_deadline,1,,Kết luận họp BS Ngọc Hải 29/01/2026,0
95,Quản lý thận nhân tạo: đăng nhập HIS tập trung + lắc tay nhận diện + báo cáo tuần + đẩy cổng BHYT,quan_ly_khac,KHTH,,2026-01-29,2026-01-30,dang_thuc_hien,1,,Kết luận họp BS Ngọc Hải 29/01/2026,1
96,QLCL khảo sát nhu cầu bệnh nhân CS2 để cải tiến và nâng cao chất lượng phục vụ + điều trị,quan_ly_khac,QLCL,,2026-01-29,2026-01-30,tre_deadline,2,,Kết luận họp BS Ngọc Hải 29/01/2026,0
97,Lập kế hoạch hoạt động Tết cụ thể cho BVTD CS2,quan_ly_khac,HCQT,,2026-01-29,2026-01-30,da_hoan_thanh,1,,Kết luận họp BS Ngọc Hải 29/01/2026,0
98,GMHS hỗ trợ cung ứng vật tư tiêu hao hóa chất cho K.Ngoại + K.Nội + K.Cấp cứu trong khi chờ làm kho CS2,hanh_chanh,GMHS,,2026-01-29,2026-01-30,tre_deadline,1,,Kết luận họp BS Ngọc Hải 29/01/2026,0
99,KHTH giám sát BS nội trú tập trung trực tại Cấp cứu đảm bảo điều trị kịp thời,chuyen_mon,KHTH,,2026-01-29,2026-04-30,da_hoan_thanh,1,giám sát mỗi ngày,Kết luận họp BS Ngọc Hải 29/01/2026,0
100,KSNK + Điều dưỡng giám sát việc ăn uống tập trung tại khu nhà nghỉ nhân viên,chuyen_mon,KSNK,Điều dưỡng,2026-01-29,2026-01-30,dang_thuc_hien,1,,Kết luận họp BS Ngọc Hải 29/01/2026,1
101,Báo cáo ca bệnh CC và phòng mổ mỗi ngày cho BGĐ,quan_ly_khac,K.Cấp cứu,,2026-01-06,2026-01-20,da_hoan_thanh,1,,Biên bản 06/01/2026,1
102,Làm cửa kiên cố 4 vị trí khoa CC (xử lý dụng cụ + phòng họp + thủ thuật + nghỉ nữ),hanh_chanh,HCQT,,2026-01-06,2026-01-20,da_hoan_thanh,2,Nhắc lại 13/01 - mở rộng thành 5 vị trí,Biên bản 06/01/2026,0
103,Trang bị 05 ghế tiện ích BS nghỉ ngơi tại CC,hanh_chanh,HCQT,,2026-01-06,2026-01-20,da_hoan_thanh,1,,Biên bản 06/01/2026,0
104,Cải tạo phòng họp K.CC (ghế lưng + rèm + bàn tủ trắng + 5S điện + trần chống ẩm),hanh_chanh,HCQT,,2026-01-06,2026-01-20,da_hoan_thanh,1,,Biên bản 06/01/2026,0
105,Cải tạo phòng nghỉ nhân viên CC (bố trí tủ giường + rèm chống muỗi + chống ẩm),hanh_chanh,HCQT,TCCB|Điều dưỡng,2026-01-06,2026-01-20,da_hoan_thanh,1,,Biên bản 06/01/2026,0
106,Bs Trần Công Trưởng tổ chức giao ban mỗi ngày (CC + GMHS + Ngoại + Nội),chuyen_mon,K.Cấp cứu,KHTH,2026-01-06,2026-01-20,da_hoan_thanh,1,KHTH giám sát theo chuẩn CS1,Biên bản 06/01/2026,1
107,TCCB ra quyết định BS Trần Công Trưởng phụ trách khối CC + Ngoại + Nội + GMHS,quan_ly_khac,TCCB,,2026-01-06,2026-01-20,tre_deadline,1,,Biên bản 06/01/2026,0
108,KHTH trình phương án hoạt động tập trung nguồn lực (CC + GMHS + Ngoại + Nội),chuyen_mon,KHTH,,2026-01-06,2026-01-20,tre_deadline,1,,Biên bản 06/01/2026,0
109,HCQT báo cáo vị trí vườn thuốc + phương án triển khai + chi phí thực hiện,quan_ly_khac,HCQT,,2026-01-06,2026-01-09,da_hoan_thanh,1,,Biên bản 06/01/2026,0
110,KHTH kết nối phần mềm Thận nhân tạo giữa HIS và BHYT,quan_ly_khac,KHTH,,2026-01-06,2026-01-09,tre_deadline,2,Nhắc lại 13/01,Biên bản 06/01/2026,0
111,Bs Bảo Anh (KHTH) triển khai tiếp nhận Thận nhân tạo với BV Lê Văn Thinh,quan_ly_khac,KHTH,,2026-01-06,2026-01-09,tre_deadline,1,Bs Bảo Anh chủ trì - báo cáo GĐ,Biên bản 06/01/2026,0
112,HCQT trang bị FaceID điểm danh phòng họp lớn giao ban bệnh viện,hanh_chanh,HCQT,TCCB|Điều dưỡng,2026-01-06,2026-01-15,da_hoan_thanh,1,Điều dưỡng điểm danh tạm trong lúc chờ,Biên bản 06/01/2026,0
113,Điều dưỡng + HCQT bố trí bàn ăn ngoài hành lang - không ăn trong phòng,hanh_chanh,Điều dưỡng,HCQT,2026-01-06,2026-01-09,da_hoan_thanh,1,,Biên bản 06/01/2026,0
114,KHTH tờ trình chuyển Khoa Sanh + phòng khám (Mắt/RHM/TMH) xuống tầng trệt,hanh_chanh,KHTH,HCQT|VTTBYT,2026-01-06,2026-05-18,da_hoan_thanh,1,,Biên bản 06/01/2026,0
